term,estimate,conf.low,conf.high,p.value
(Intercept),2.665170208058726,2.508589559235199,2.831835100399678,1.3793460715784085e-220
speed_limit10 km/h,1.8816049191592035,0.9902826473276755,3.862322590600292,0.06670324100477736
speed_limit100 km/h,1.230282320962112,1.1127723736083264,1.3606694605745377,5.355778523611682e-5
speed_limit110 km/h,0.866247242334789,0.7742754087833855,0.9694260035098455,0.01227404211571147
speed_limit20 km/h,1.2752595278882566,0.6020534021122073,2.9618348501711207,0.545373079014106
speed_limit30 km/h,2.6410636945237362,1.6427134846592581,4.447973739098564,1.2403087723959072e-4
speed_limit40 km/h,1.4076761258818942,1.295729309982776,1.530243544715964,7.751428187677595e-16
speed_limit60 km/h,1.4866052896981696,1.4297874970453992,1.5457476691501628,2.196237202779352e-88
speed_limit70 km/h,1.6555829113223015,1.5607553761499515,1.7565412553390076,8.872269525109582e-63
speed_limit80 km/h,1.5988706238988202,1.5081341574655724,1.6954252747336604,1.1839173875249347e-55
speed_limit90 km/h,1.298714310623575,1.1259197426347811,1.4997653212306155,3.512490476694793e-4
speed_limitUnknown,1.3066178612454558,0.1565991410575845,10.902483339275056,0.7892699986476654
natural_lightingDarkness,0.5435473700102857,0.5205218128523537,0.5675623714329125,6.1523705996447315e-168
natural_lightingDawn,0.7087061353559885,0.652354346741536,0.7701616881196675,4.272915213184025e-16
natural_lightingDusk,1.0016575905702527,0.9381815456531575,1.0697181320229427,0.9605341852995223
natural_lightingUnknown,0.7374570334597447,0.5942978147995249,0.9124504053261296,0.005323150325012241
street_lightingNil,1.9200794648299808,1.8079398382279281,2.0393427454834616,4.746094675075807e-100
street_lightingOff,1.5819906706161144,1.4852609832702903,1.6851043358412234,4.927847835166772e-46
street_lightingUnknown / not stated,0.23706442562078625,0.22529036187817722,0.24941192678490234,0
weatherFog or mist,0.8915947120582057,0.7438462299670096,1.0706712219791001,0.2166905968568584
weatherOther,0.6273883705746894,0.48304539581908507,0.8167403477362128,4.976552804611519e-4
weatherOvercast,0.7549500126327013,0.7104397716484915,0.8023660999831818,1.3526624514882998e-19
weatherRaining,0.8482926675412473,0.8097827866170105,0.888708309093469,4.067988561952378e-12
weatherUnknown,1.3621137693472973,1.1832583525314047,1.5705737902605639,1.87640629752248e-5
urbanisationCountry non-urban,1.1189806209538984,1.0062837311213844,1.2440008993010145,0.03770284422305945
urbanisationCountry unknown,1.5094694401555824,0.15588570925032866,14.700422961035654,0.7067655872635474
urbanisationNewcastle met. area,1.0264553675187915,0.9524791414913448,1.1064394156180073,0.4945106998436257
urbanisationSydney metro. area,1.2555901520615913,1.2084499761735379,1.3045505783817046,2.045310345608809e-31
urbanisationWollongong met. area,1.0875678414282728,0.9951840750617346,1.189022078638672,0.0644323729845126
